Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
4,Albania,Soybeans,1990,7000,1485.0,121.0,16.37
10,Albania,Soybeans,1991,6066,1485.0,121.0,15.36
16,Albania,Soybeans,1992,4507,1485.0,121.0,16.06
21,Albania,Soybeans,1993,7998,1485.0,121.0,16.05
25,Albania,Soybeans,1994,7927,1485.0,201.0,16.96
29,Albania,Soybeans,1995,11791,1485.0,251.0,15.67
33,Albania,Soybeans,1996,15480,1485.0,313.96,15.64
37,Albania,Soybeans,1997,12768,1485.0,376.93,15.9
41,Albania,Soybeans,1998,14327,1485.0,439.89,16.27
45,Albania,Soybeans,1999,17143,1485.0,502.86,16.57
49,Albania,Soybeans,2000,15000,1485.0,565.82,16.67
53,Albania,Soybeans,2001,20000,1485.0,628.79,16.59
57,Albania,Soybeans,2002,20000,1485.0,691.75,16.47
61,Albania,Soybeans,2004,13333,1485.0,817.68,16.16
65,Albania,Soybeans,2005,17500,1485.0,880.64,15.67
69,Albania,Soybeans,2006,20000,1485.0,943.61,15.92
73,Albania,Soybeans,2007,20000,1485.0,1006.57,16.67
77,Albania,Soybeans,2008,20000,1485.0,1069.54,16.71
81,Albania,Soybeans,2009,16667,1485.0,1132.5,16.73
85,Albania,Soybeans,2010,16667,1485.0,1311.17,16.52
89,Albania,Soybeans,2011,18519,1485.0,1302.63,16.45
93,Albania,Soybeans,2012,13333,1485.0,766.25,16.7
97,Albania,Soybeans,2013,10000,1485.0,982.32,17.41
278,Angola,Soybeans,2000,2333,1010.0,40.0,24.41
286,Angola,Soybeans,2001,2500,1010.0,40.0,24.43
294,Angola,Soybeans,2002,2857,1010.0,40.0,24.79
302,Angola,Soybeans,2004,3600,1010.0,40.0,24.22
310,Angola,Soybeans,2005,3793,1010.0,40.0,24.41
318,Angola,Soybeans,2006,4286,1010.0,40.0,24.14
326,Angola,Soybeans,2007,6883,1010.0,40.0,24.24
334,Angola,Soybeans,2008,8575,1010.0,40.0,24.27
342,Angola,Soybeans,2009,4449,1010.0,40.0,24.33
350,Angola,Soybeans,2010,4446,1010.0,40.0,24.44
358,Angola,Soybeans,2011,5294,1010.0,40.0,24.15
366,Angola,Soybeans,2012,1641,1010.0,40.0,24.24
374,Angola,Soybeans,2013,4405,1010.0,40.0,24.55
387,Argentina,Soybeans,1990,21566,591.0,26156.0,17.46
388,Argentina,Soybeans,1990,21566,591.0,26156.0,17.67
403,Argentina,Soybeans,1991,22750,591.0,26156.0,17.64
404,Argentina,Soybeans,1991,22750,591.0,26156.0,17.86
419,Argentina,Soybeans,1992,22915,591.0,26156.0,17.09
420,Argentina,Soybeans,1992,22915,591.0,26156.0,17.51
435,Argentina,Soybeans,1993,21589,591.0,26156.0,17.32
436,Argentina,Soybeans,1993,21589,591.0,26156.0,17.53
451,Argentina,Soybeans,1994,20386,591.0,30195.0,18.17
452,Argentina,Soybeans,1994,20386,591.0,30195.0,18.31
467,Argentina,Soybeans,1995,20446,591.0,37842.0,17.74
468,Argentina,Soybeans,1995,20446,591.0,37842.0,17.62
483,Argentina,Soybeans,1996,21051,591.0,54595.0,17.64
484,Argentina,Soybeans,1996,21051,591.0,54595.0,17.97
499,Argentina,Soybeans,1997,17212,591.0,77691.0,18.29
500,Argentina,Soybeans,1997,17212,591.0,77691.0,18.54
515,Argentina,Soybeans,1998,26937,591.0,62397.0,17.23
516,Argentina,Soybeans,1998,26937,591.0,62397.0,17.52
531,Argentina,Soybeans,1999,24450,591.0,62831.39,17.15
532,Argentina,Soybeans,1999,24450,591.0,62831.39,17.71
547,Argentina,Soybeans,2000,23312,591.0,63265.78,16.98
548,Argentina,Soybeans,2000,23312,591.0,63265.78,17.66
563,Argentina,Soybeans,2001,25846,591.0,63700.17,17.71
564,Argentina,Soybeans,2001,25846,591.0,63700.17,18.42
579,Argentina,Soybeans,2002,26304,591.0,64134.56,17.58
580,Argentina,Soybeans,2002,26304,591.0,64134.56,18.07
595,Argentina,Soybeans,2004,22075,591.0,65003.34,17.67
596,Argentina,Soybeans,2004,22075,591.0,65003.34,18.11
611,Argentina,Soybeans,2005,27287,591.0,65437.73,17.32
612,Argentina,Soybeans,2005,27287,591.0,65437.73,17.83
